name,type,city,district,neighborhood,landAddress,streetAddress,longtitude,latitude
그동네떡볶이,김밥/만두/분식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 259-16,서울특별시 마포구 동교로 243,126.9241118,37.5617116
오이소순대국,국/탕/찌개류,서울특별시,마포구,연남동,서울특별시 마포구 연남동 487-24,서울특별시 마포구 성미산로17길 105,126.9169971,37.56607064
마리연남,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-34,서울특별시 마포구 동교로38길 29,126.9256641,37.56159959
PLOP,김밥/만두/분식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-23,서울특별시 마포구 동교로38길 27-9,126.9255805,37.56190518
꿀돼지집,돼지고기 구이/찜,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-51,서울특별시 마포구 동교로 236,126.9244181,37.56087642
무취포차,생맥주 전문,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-40,서울특별시 마포구 동교로 256,126.9248124,37.56258298
환대,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 564-20,서울특별시 마포구 연남로1길 70,126.9194955,37.55923664
연남한양집,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 384-3,서울특별시 마포구 동교로46길 26,126.9260406,37.56217968
그레이비,피자,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-95,서울특별시 마포구 동교로38길 14,126.9250596,37.56191846
미니히노코,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 383-40,서울특별시 마포구 동교로38길 33-16,126.9263281,37.56186693
크리멜트,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-47,서울특별시 마포구 동교로 248-2,126.9245249,37.56211182
꾸다방,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 383-24,서울특별시 마포구 연희로1길 51,126.926078,37.56115284
용뱅이,횟집,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-7,서울특별시 마포구 성미산로 190-8,126.9258742,37.56273681
미자살롱,일반 유흥 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-12,서울특별시 마포구 동교로38길 6,126.9246787,37.56164468
연남짚,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-25,서울특별시 마포구 동교로46길 16,126.9255418,37.56223821
유키모찌연남점,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-28,서울특별시 마포구 동교로 240,126.924446,37.56130017
"에스프레소그자체,연남",경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 366-27,서울특별시 마포구 연남로9길 11-15,126.9194454,37.56427298
야키토리고꼬연남,기타 일식 음식점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 257-7,서울특별시 마포구 성미산로26길 41,126.9234599,37.56218321
제일,중국집,서울특별시,마포구,연남동,서울특별시 마포구 연남동 383-24,서울특별시 마포구 연희로1길 51,126.926078,37.56115284
잊힐리야연남,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-14,서울특별시 마포구 동교로 262-8,126.9254778,37.56275122
온도,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-5,서울특별시 마포구 동교로 266-10,126.9257135,37.56288852
유메이크쿠키,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 487-273,서울특별시 마포구 연남로11길 30,126.9173795,37.56546144
포가,중국집,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-21,서울특별시 마포구 동교로46길 24-4,126.9258395,37.56199764
일쏠레,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 566-24,서울특별시 마포구 연남로1길 22,126.9217526,37.56048268
피에스타7연남점,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 562-34,서울특별시 마포구 동교로27길 75,126.9202751,37.56090168
딘딘향마라탕연남점,마라탕/훠궈,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-27,서울특별시 마포구 동교로 242,126.9244446,37.56139927
오로라케이크하우스,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 241-48,서울특별시 마포구 성미산로29길 34,126.9219976,37.56547667
제이앤제이슨R,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 229-51,서울특별시 마포구 동교로 255-1,126.924515,37.56279652
리차드하우스연남,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 227-9,서울특별시 마포구 동교로46길 36,126.9265621,37.56212135
앤드,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 258-2,서울특별시 마포구 동교로39길 7,126.924027,37.56209827
레이트체크아웃,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-10,서울특별시 마포구 동교로 262-9,126.9256239,37.56282463
그믐족발연남점,족발/보쌈,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-45,서울특별시 마포구 동교로46길 10,126.9252885,37.56253325
비터버터,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 385-4,서울특별시 마포구 동교로46길 25,126.9261632,37.56231595
테일러커피,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 224-41,서울특별시 마포구 성미산로 189,126.9263784,37.5630928
오랑지Oh!range,국수/칼국수,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-71,서울특별시 마포구 동교로38길 13,126.9249898,37.56205298
보통공간,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 224-14,서울특별시 마포구 동교로52길 4-3,126.9267622,37.56395228
구룰루,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 224-39,서울특별시 마포구 동교로 272-7,126.9262374,37.56345193
쿠시파파,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-39,서울특별시 마포구 동교로 256-4,126.9249266,37.56251193
카페네이,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 227-15,서울특별시 마포구 성미산로 198,126.926751,37.56236635
츄르릅,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 227-7,서울특별시 마포구 동교로46길 42-6,126.9266421,37.56206801
클래식당,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 383-95,서울특별시 마포구 연희로1길 65,126.9266489,37.56159954
브라운하우스카페,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 226-26,서울특별시 마포구 동교로50길 25,126.9273598,37.56332698
반말포차,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-16,서울특별시 마포구 동교로38길 4,126.9245658,37.56162563
루바브,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 226-34,서울특별시 마포구 연희로 47,126.9277274,37.56295188
휘겔리후스,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 369-15,서울특별시 마포구 성미산로 127,126.9207745,37.56315884
미드나잇키친,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-47,서울특별시 마포구 동교로32길 5,126.9246227,37.56081521
코이크,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 255-23,서울특별시 마포구 동교로39길 8,126.9238665,37.56224097
모이정,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 504-32,서울특별시 마포구 성미산로 122,126.9204094,37.56257884
백스트리트,피자,서울특별시,마포구,연남동,서울특별시 마포구 연남동 258-10,서울특별시 마포구 동교로 245,126.9240309,37.561828
채널오렌지,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 241-51,서울특별시 마포구 성미산로29길 40-6,126.9219168,37.56558406
그림제작소,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 239-39,서울특별시 마포구 성미산로 170,126.9245863,37.56413971
카페플롬,일반 유흥 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-35,서울특별시 마포구 동교로38길 33,126.9257221,37.561501
스위트가든뽀아르,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 227-22,서울특별시 마포구 성미산로 194,126.926384,37.5627054
연남곱창타운,곱창 전골/구이,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-51,서울특별시 마포구 동교로 236,126.9244181,37.56087642
청화접,중국집,서울특별시,마포구,연남동,서울특별시 마포구 연남동 228-10,서울특별시 마포구 동교로 268,126.9256399,37.56328431
틈틈,일식 회/초밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 241-4,서울특별시 마포구 동교로51길 73-1,126.9229777,37.56580098
올루,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 241-23,서울특별시 마포구 성미산로29안길 11,126.9227946,37.56515056
백경,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-78,서울특별시 마포구 동교로38길 16,126.92515,37.56192829
작은마을,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 361-11,서울특별시 마포구 연남로 72-1,126.9194847,37.56547172
아이얼오브,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 487-156,서울특별시 마포구 성미산로16길 36,126.918132,37.55960259
연남5701,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 570-1,서울특별시 마포구 동교로23길 64,126.9189056,37.55854645
페이보릿연남,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 383-44,서울특별시 마포구 동교로38길 27-14,126.9261682,37.56196459
명궁,중국집,서울특별시,마포구,연남동,서울특별시 마포구 연남동 487-398,서울특별시 마포구 월드컵북로8길 7,126.9181759,37.5589182
종려나무떡,떡/한과,서울특별시,마포구,연남동,서울특별시 마포구 연남동 369-20,서울특별시 마포구 연남로 45,126.9207596,37.56341099
세뇨,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 370-30,서울특별시 마포구 연남로7길 24,126.9189777,37.56374609
목로집,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 570-38,서울특별시 마포구 월드컵북로6길 19,126.9196114,37.55826458
누구나홀딱반한닭연남점,치킨,서울특별시,마포구,연남동,서울특별시 마포구 연남동 258-1,서울특별시 마포구 동교로 249,126.9241618,37.56217158
감나무집기사식당,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 515-20,서울특별시 마포구 연남로 23,126.9220748,37.56168401
야경,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 226-22,서울특별시 마포구 성미산로 189-6,126.9266736,37.56303241
벤코크,요리 주점,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-94,서울특별시 마포구 동교로38길 9,126.9247973,37.56206024
공그로트,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 454-13,서울특별시 마포구 동교로51길 129-6,126.920028,37.56626059
올리그,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-100,서울특별시 마포구 동교로38안길 8,126.9248072,37.56215944
연남화로굼,돼지고기 구이/찜,서울특별시,마포구,연남동,서울특별시 마포구 연남동 226-29,서울특별시 마포구 성미산로 195,126.9268257,37.56268239
키도,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 226-29,서울특별시 마포구 성미산로 195,126.9268257,37.56268239
동네정미소,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 487-35,서울특별시 마포구 성미산로17길 79,126.9171823,37.56500911
小주방,백반/한정식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 387-6,서울특별시 마포구 동교로 266-12,126.9257939,37.56280816
타이로띠,경양식,서울특별시,마포구,연남동,서울특별시 마포구 연남동 487-39,서울특별시 마포구 성미산로15길 82,126.9169695,37.56485399
서점리스본포르투,카페,서울특별시,마포구,연남동,서울특별시 마포구 연남동 375-117,서울특별시 마포구 성미산로23길 60,126.9200531,37.56608962
상하이음식,중국집,서울특별시,마포구,연남동,서울특별시 마포구 연남동 224-35,서울특별시 마포구 동교로 272,126.9259973,37.56362095
어니스트팬케이크,빵/도넛,서울특별시,마포구,연남동,서울특별시 마포구 연남동 390-64,서울특별시 마포구 동교로38안길 13,126.9248949,37.56235847
경양카츠연남점,일식 카레/돈가스/덮밥,서울특별시,마포구,연남동,서울특별시 마포구 연남동 260-29,서울특별시 마포구 동교로 238-1,126.9244936,37.56113841
