,title,link,view,upload_date,video_pk
89,연남동 맛집 이름없는 파스타 멘타이코 까르보나라 리조또 알리오올리오 파스타 혼밥 먹방 홍대 연인 데이트코스 추천 김톰슨 #Shorts,https://www.youtube.com/shorts/iLjpcCUibVo,315회,2년 전,iLjpcCUibVo
90,#연남동데이트 #연남동맛집 #또간집 #연남동 #함박스테이크 #홍대맛집 #연남함박 #홍대함박 #홍대맛집 #빌레로이앤보흐 #연남동맛집추천,https://www.youtube.com/shorts/SRTPDV-CIro,85회,1년 전,SRTPDV-CIro
91,"#shouts #연남솔솥#연남동맛집몸보신하러 전복솔솥, 도미관자",https://www.youtube.com/shorts/0sHlU9uHnY0,1.6천회,1년 전,0sHlU9uHnY0
92,연남동 맛집 미쁘동,https://www.youtube.com/shorts/n7-QyGeUU7Q,94회,1년 전,n7-QyGeUU7Q
93,미나리랑 삼겹살 궁합 난리나💚#풀뜯는돼지#홍대#연남동맛집#쇼츠,https://www.youtube.com/shorts/U41aPdGYfbA,3.8천회,1년 전,U41aPdGYfbA
94,연남동 소이연남 #연남동맛집#연남동#맛집#소이연남#태국#Thailand#먹방#shorts#쇼츠,https://www.youtube.com/shorts/9qbi5oblsDg,271회,1년 전,9qbi5oblsDg
95,연남동 현지인이 운영하는 중식당🥘(#월량관 #연남동맛집 #연남동중국집 #맛집투어),https://www.youtube.com/shorts/2Q2ydAdk3-Q,435회,2년 전,2Q2ydAdk3-Q
96,연남동 맛집 이지키친 꽃도리탕,https://www.youtube.com/shorts/v4XdjhDtJA4,186회,1년 전,v4XdjhDtJA4
97,연남동 맛집 풍천장어!!!,https://www.youtube.com/shorts/1GxsF52kdXY,907회,1년 전,1GxsF52kdXY
98,연남동 맛집 |ssap 쌉 | 똠얌꿍 🍜| 팟타이,https://www.youtube.com/shorts/AqRlVcyJnMA,88회,3년 전,AqRlVcyJnMA
99,치즈멘치카츠가 미쳤어욤 … #요코쵸#연남동#맛집#JMT#치즈#shorts,https://www.youtube.com/shorts/kXNhLsYuhbg,144회,2년 전,kXNhLsYuhbg
100,#연남동 #맛집 #소점 진짜 인생맛집입니다 !! 주말 12시쯤 가서 웨이팅작성해두세용!!,https://www.youtube.com/shorts/N7-oRBWcDic,318회,1년 전,N7-oRBWcDic
101,#루나씨엘로 #와인바 #연남동 #홍대 #데이트 #맛집 #연남동맛집 #연남동데이트 #홍대맛집 #홍대데이트 #맛집추천 #와인추천 #로제와인 #내추럴와인 #친구들과,https://www.youtube.com/shorts/9eGbmi5hxf0,121회,1년 전,9eGbmi5hxf0
102,"서울맛집, 연남동맛집, #shorts, korea food,",https://www.youtube.com/shorts/N8RNpWgH2ak,170회,2년 전,N8RNpWgH2ak
103,#연남동맛집 #연남동벚꽃집 #베이커리 #빵맛집 #버터크림,https://www.youtube.com/shorts/2Z2q2WCwE64,43회,1년 전,2Z2q2WCwE64
104,#연하동 #대왕연어초밥 #연어초밥 #연남동맛집 #연남동데이트 #연어초밥 #연어맛집 #연어덮밥 #연어김밥 #서울맛집 #먹중사 #먹방 #맛집추천 #koreafood,https://www.youtube.com/shorts/K0R49vEwxUg,5.5천회,5개월 전,K0R49vEwxUg
105,연남동해브 연어 비프 새우 냉파스타 연남동 맛집,https://www.youtube.com/shorts/AfNW9l32d9g,172회,2년 전,AfNW9l32d9g
106,#연남동맛집 니꾸킹버거 🍔 #연남동데이트 특별한 수제버거 먹기!,https://www.youtube.com/shorts/jjHr3UTQa1E,1.5천회,1년 전,jjHr3UTQa1E
107,가로수길/ 연남동 맛집 연남토마 명란바질오일파스타 - 조금 뻑뻑한 게... #shorts,https://www.youtube.com/shorts/s_ovkoLtp4I,1.6천회,2년 전,s_ovkoLtp4I
108,연남동 맛집 파스타 스테이크 뷰좋은 레스토랑 오뗄드꾸뜨 Basel pasta & steak in Seoul hongdae restaurant!,https://www.youtube.com/shorts/JCH6PwRuyM4,770회,1년 전,JCH6PwRuyM4
109,비스트로 고트 _ #홍대 #연남동 #맛집 #데이트 #레스토랑 #뇨끼 #와인 #restaurant #wine #steak,https://www.youtube.com/shorts/IxhKzjGt_9w,1.3천회,1년 전,IxhKzjGt_9w
110,일상Vlog 투투맘 의 연남동 핫플 연남동맛집 성격양식 방문기,https://www.youtube.com/shorts/S9kRyPntoME,1.7천회,5년 전,S9kRyPntoME
111,"연남동 맛집, 비스트로오라 레스토랑, 생일이나 기념일에 다녀오세요❤️",https://www.youtube.com/shorts/WxKzVG2ELSA,215회,1년 전,WxKzVG2ELSA
112,#연남다저스 #연남동맛집 #저메추 #점메추 #함박스테이크 #함박맛집 #치폴레&토마토소스,https://www.youtube.com/shorts/Bsu0TbK7ozE,863회,1년 전,Bsu0TbK7ozE
113,홍대입구. 연남동 맛집 연하동 후기,https://www.youtube.com/shorts/iZTJLkkhXjs,344회,1년 전,iZTJLkkhXjs
114,#홍대맛집 #연남동맛집 #홍대술집 #연남동맛집 #홍대횟집 #연남동횟집 #방어 #방어회 #고등어회,https://www.youtube.com/shorts/ZR_TymhJyiY,135회,1년 전,ZR_TymhJyiY
115,#shorts 홍대 연남동 돈까스 소바 맛집 소나무연남. #홍대맛집 #홍대돈까스 #홍대돈카츠 #연남동맛집 #연남동돈까스 #연남동돈까스,https://www.youtube.com/shorts/-ho-YiGRa3g,351회,1년 전,-ho-YiGRa3g
116,연남동 낙곱새 맛집 _ 평화연남 #낙곱새 #kfood #연남동맛집 #낙지 #곱창 #새우,https://www.youtube.com/shorts/Z9Extju7fsQ,1.8천회,1년 전,Z9Extju7fsQ
117,#소점 #연남동맛집 #shorts,https://www.youtube.com/shorts/4YZ79NlXBMM,261회,2년 전,4YZ79NlXBMM
